Instruction at 0x401b07 in routine: test_floating_point_operations | movss xmm0, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401b0c in routine: test_floating_point_operations | divss xmm0, dword ptr [rbp-0x8] | Category: SSE
Instruction at 0x401b11 in routine: test_floating_point_operations | pxor xmm1, xmm1 | Category: LOGICAL
Instruction at 0x401b15 in routine: test_floating_point_operations | cvtss2sd xmm1, xmm0 | Category: CONVERT
Instruction at 0x401b19 in routine: test_floating_point_operations | pxor xmm0, xmm0 | Category: LOGICAL
Instruction at 0x401b1d in routine: test_floating_point_operations | cvtss2sd xmm0, dword ptr [rbp-0x8] | Category: CONVERT
Instruction at 0x401b22 in routine: test_floating_point_operations | pxor xmm6, xmm6 | Category: LOGICAL
Instruction at 0x401b26 in routine: test_floating_point_operations | cvtss2sd xmm6, dword ptr [rbp-0x4] | Category: CONVERT
Instruction at 0x401b2b in routine: test_floating_point_operations | movq rax, xmm6 | Category: DATAXFER
Instruction at 0x401b30 in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x401b34 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401b38 in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401b3d in routine: test_floating_point_operations | mov edi, 0x4035f8 | Category: DATAXFER
Instruction at 0x401b42 in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401b47 in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401b4c in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401b51 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401b55 in routine: test_floating_point_operations | divsd xmm1, qword ptr [rbp-0x18] | Category: SSE
Instruction at 0x401b5a in routine: test_floating_point_operations | movsd xmm0, qword ptr [rbp-0x18] | Category: DATAXFER
Instruction at 0x401b5f in routine: test_floating_point_operations | mov rax, qword ptr [rbp-0x10] | Category: DATAXFER
Instruction at 0x401b63 in routine: test_floating_point_operations | movapd xmm2, xmm1 | Category: DATAXFER
Instruction at 0x401b67 in routine: test_floating_point_operations | movapd xmm1, xmm0 | Category: DATAXFER
Instruction at 0x401b6b in routine: test_floating_point_operations | movq xmm0, rax | Category: DATAXFER
Instruction at 0x401b70 in routine: test_floating_point_operations | mov edi, 0x403618 | Category: DATAXFER
Instruction at 0x401b75 in routine: test_floating_point_operations | mov eax, 0x3 | Category: DATAXFER
Instruction at 0x401b7a in routine: test_floating_point_operations | call 0x4010a0 | Category: CALL
Instruction at 0x401b7f in routine: test_floating_point_operations | mov eax, dword ptr [rbp-0x4] | Category: DATAXFER
Instruction at 0x401b82 in routine: test_floating_point_operations | movd xmm0, eax | Category: DATAXFER
Instruction at 0x401b86 in routine: test_floating_point_operations | call 0x401160 | Category: CALL
Instruction at 0x401b8b in routine: test_floating_point_operations | cvtss2sd xmm0, xmm0 | Category: CONVERT
Instruction at 0x401b8f in routine: test_floating_point_operations | pxor xmm7, xmm7 | Category: LOGICAL
